ts,session,recovered,t_to_recovery_hr,next_auto_verb,t_to_next_op_hr
2026-03-01 12:13:41+00:00,3820,True,0.1563888888888888,ANALYZE,13.350833333333334
2026-03-01 12:13:53+00:00,3819,True,0.1530555555555555,ANALYZE,13.3475
2026-03-01 18:54:27+00:00,3862,True,0.1144444444444444,ANALYZE,6.671388888888889
2026-03-01 18:54:34+00:00,3861,True,0.1125,ANALYZE,6.669444444444444
2026-03-01 19:09:18+00:00,3864,True,0.3083333333333333,RUN,6.4238888888888885
2026-03-01 19:09:38+00:00,3863,True,0.3027777777777777,RUN,6.418333333333333
2026-03-01 19:19:59+00:00,3865,True,0.1302777777777777,RUN,6.245833333333334
2026-03-01 19:20:04+00:00,3864,True,0.1288888888888889,RUN,6.2444444444444445
2026-03-01 23:20:48+00:00,3890,True,0.3947222222222222,RUN,2.232222222222222
2026-03-01 23:20:55+00:00,3889,True,0.3927777777777778,RUN,2.230277777777778
2026-03-02 02:28:54+00:00,3910,True,0.1369444444444444,CRITIQUE,29.314722222222223
2026-03-02 02:29:01+00:00,3909,True,0.135,CRITIQUE,29.31277777777778
2026-03-02 06:02:34+00:00,3932,True,0.1566666666666666,RUN,25.753611111111113
2026-03-02 06:02:59+00:00,3931,True,0.1497222222222222,RUN,25.746666666666663
2026-03-02 11:47:28+00:00,3972,True,0.1833333333333333,SURVEY,20.005277777777778
2026-03-02 11:47:40+00:00,3971,True,0.18,SURVEY,20.001944444444444
2026-03-02 12:19:24+00:00,3975,True,0.1283333333333333,BRIEF,19.47305555555555
2026-03-02 12:19:33+00:00,3974,True,0.1258333333333333,BRIEF,19.470555555555556
2026-03-02 15:47:10+00:00,3996,True,0.1127777777777777,CRITIQUE,16.010277777777777
2026-03-02 15:47:18+00:00,3995,True,0.1105555555555555,CRITIQUE,16.008055555555554
2026-03-02 17:03:38+00:00,4005,True,0.1455555555555555,SURVEY,14.735833333333334
2026-03-02 17:03:50+00:00,4004,True,0.1422222222222222,SURVEY,14.7325
2026-03-03 02:32:40+00:00,4061,True,0.1422222222222222,SYNTHESIZE,5.251944444444445
2026-03-03 02:32:50+00:00,4060,True,0.1394444444444444,SYNTHESIZE,5.2491666666666665
2026-03-03 05:49:46+00:00,4082,True,0.2180555555555555,DESIGN,1.9669444444444444
2026-03-03 05:49:53+00:00,4081,True,0.2161111111111111,DESIGN,1.965
2026-03-03 10:11:15+00:00,4106,True,0.1361111111111111,SYNTHESIZE,571.2580555555555
2026-03-03 10:11:23+00:00,4105,True,0.1338888888888889,SYNTHESIZE,571.2558333333334
2026-03-03 22:37:14+00:00,4181,True,0.1566666666666666,CRITIQUE,558.825
2026-03-03 22:37:19+00:00,4180,True,0.1552777777777777,CRITIQUE,558.8236111111111
2026-03-04 03:07:21+00:00,4208,True,0.2202777777777777,DESIGN,554.3230555555556
2026-03-04 03:07:29+00:00,4207,True,0.2180555555555555,DESIGN,554.3208333333333
2026-03-04 06:01:31+00:00,4225,True,0.1780555555555555,ANALYZE,551.4202777777778
2026-03-04 06:01:41+00:00,4224,True,0.1752777777777777,ANALYZE,551.4175
2026-03-04 06:33:04+00:00,4228,True,0.2005555555555555,DESIGN,550.8944444444444
2026-03-04 06:33:08+00:00,4227,True,0.1994444444444444,DESIGN,550.8933333333333
2026-03-04 10:35:35+00:00,4254,True,0.14,HYPOTHESIZE,546.8525
2026-03-04 10:35:41+00:00,4253,True,0.1383333333333333,HYPOTHESIZE,546.8508333333333
2026-03-04 15:58:35+00:00,4284,True,0.1363888888888889,SCOUT,541.4691666666666
2026-03-04 15:58:42+00:00,4283,True,0.1344444444444444,SCOUT,541.4672222222222
2026-03-04 16:59:57+00:00,4289,True,0.1452777777777777,CRITIQUE,540.4463888888889
2026-03-04 17:00:03+00:00,4288,True,0.1436111111111111,CRITIQUE,540.4447222222223
2026-03-04 18:59:05+00:00,4300,True,0.3077777777777777,CRITIQUE,538.4608333333333
2026-03-04 18:59:10+00:00,4299,True,0.3063888888888889,CRITIQUE,538.4594444444444
2026-03-04 19:09:42+00:00,4301,True,0.1308333333333333,CRITIQUE,538.2838888888889
2026-03-04 22:26:18+00:00,4315,True,0.1963888888888889,RUN,535.0072222222223
2026-03-04 22:29:39+00:00,4314,True,0.1405555555555555,RUN,534.9513888888889
2026-03-04 23:37:26+00:00,4323,True,0.1375,RUN,533.8216666666667
2026-03-04 23:37:49+00:00,4322,True,0.1311111111111111,RUN,533.8152777777777
2026-03-07 12:20:26+00:00,4665,True,0.2069444444444444,RUN,473.105
2026-03-07 12:20:33+00:00,4664,True,0.205,RUN,473.1030555555555
2026-03-07 20:24:23+00:00,4712,True,0.1680555555555555,RUN,465.0391666666667
2026-03-07 20:25:07+00:00,4711,True,0.1558333333333333,RUN,465.0269444444445
2026-03-09 16:25:00+00:00,4972,True,0.14,DESIGN,421.0288888888889
2026-03-09 16:25:33+00:00,4971,True,0.1308333333333333,DESIGN,421.01972222222224
2026-03-09 16:59:10+00:00,4976,True,0.1597222222222222,CRITIQUE,420.4594444444445
2026-03-09 16:59:15+00:00,4975,True,0.1583333333333333,CRITIQUE,420.4580555555556
2026-03-11 04:07:25+00:00,5164,True,0.1475,DESIGN,385.32194444444445
2026-03-11 04:07:32+00:00,5163,True,0.1455555555555555,DESIGN,385.32
2026-03-12 09:46:30+00:00,5322,True,0.1275,HYPOTHESIZE,355.67055555555555
2026-03-12 09:46:41+00:00,5321,True,0.1244444444444444,HYPOTHESIZE,355.6675
2026-03-12 22:12:37+00:00,5388,True,0.3794444444444444,RUN,343.23527777777775
2026-03-12 22:12:45+00:00,5387,True,0.3772222222222222,RUN,343.23305555555555
2026-03-13 01:33:48+00:00,5406,True,0.1638888888888889,RUN,339.8822222222222
2026-03-13 01:33:56+00:00,5405,True,0.1616666666666666,RUN,339.88
2026-03-14 00:27:47+00:00,5509,True,0.1041666666666666,ANALYZE,316.9825
2026-03-14 00:27:50+00:00,5508,True,0.1033333333333333,ANALYZE,316.9816666666667
2026-03-14 11:17:54+00:00,5569,True,0.15,RUN,306.14722222222224
2026-03-14 11:18:09+00:00,5568,True,0.1458333333333333,RUN,306.1430555555556
2026-03-14 17:00:35+00:00,5605,True,0.1041666666666666,ADVISE,300.43583333333333
2026-03-14 17:00:40+00:00,5604,True,0.1027777777777777,ADVISE,300.43444444444447
2026-03-14 19:34:11+00:00,5623,True,0.1341666666666666,CRITIQUE,297.87583333333333
2026-03-14 19:34:17+00:00,5622,True,0.1325,CRITIQUE,297.87416666666667
2026-03-15 04:20:22+00:00,5676,True,0.14,RUN,289.1061111111111
2026-03-15 04:20:28+00:00,5675,True,0.1383333333333333,RUN,289.1044444444444
2026-03-15 12:58:43+00:00,5726,True,0.2797222222222222,ANALYZE,280.46694444444444
2026-03-15 12:59:03+00:00,5725,True,0.2741666666666666,ANALYZE,280.4613888888889
2026-03-15 13:07:45+00:00,5727,True,0.1291666666666666,ANALYZE,280.31638888888887
2026-03-15 13:07:50+00:00,5726,True,0.1277777777777777,ANALYZE,280.315
2026-03-16 00:34:52+00:00,5785,True,0.1122222222222222,CRITIQUE,268.8644444444444
2026-03-16 00:35:10+00:00,5784,True,0.1072222222222222,CRITIQUE,268.8594444444444
2026-03-16 01:09:00+00:00,5789,True,0.1813888888888888,DESIGN,268.29555555555555
2026-03-16 01:09:10+00:00,5788,True,0.1786111111111111,DESIGN,268.29277777777776
2026-03-16 19:48:49+00:00,5904,True,0.4108333333333333,RUN,249.63194444444449
2026-03-16 19:48:54+00:00,5903,True,0.4094444444444444,RUN,249.63055555555556
2026-03-16 19:59:11+00:00,5905,True,0.2380555555555555,RUN,249.45916666666668
2026-03-17 01:11:40+00:00,5932,True,0.1080555555555555,ANALYZE,244.2511111111111
2026-03-17 01:11:52+00:00,5931,True,0.1047222222222222,ANALYZE,244.24777777777777
2026-03-17 05:22:22+00:00,5955,True,0.1513888888888888,RUN,240.0727777777778
2026-03-17 05:22:37+00:00,5954,True,0.1472222222222222,RUN,240.06861111111112
2026-03-17 11:01:38+00:00,5987,True,0.1269444444444444,CRITIQUE,234.41833333333332
2026-03-17 11:01:43+00:00,5986,True,0.1255555555555555,CRITIQUE,234.41694444444445
2026-03-17 12:06:52+00:00,5994,True,0.1336111111111111,ADVISE,233.3311111111111
2026-03-17 12:06:59+00:00,5993,True,0.1316666666666666,ADVISE,233.32916666666668
2026-03-17 17:44:33+00:00,6020,True,0.1886111111111111,DESIGN,227.70305555555555
2026-03-17 17:44:41+00:00,6019,True,0.1863888888888888,DESIGN,227.70083333333332
2026-03-19 06:06:00+00:00,6222,True,0.1169444444444444,RUN,191.34555555555556
2026-03-19 06:06:23+00:00,6221,True,0.1105555555555555,RUN,191.33916666666667
2026-03-19 06:32:14+00:00,6225,True,0.1438888888888889,RUN,190.90833333333333
2026-03-19 06:32:23+00:00,6224,True,0.1413888888888889,RUN,190.90583333333333
2026-03-20 00:21:41+00:00,6326,True,0.1633333333333333,RUN,173.08416666666668
2026-03-20 00:21:48+00:00,6325,True,0.1613888888888889,RUN,173.0822222222222
2026-03-20 07:01:15+00:00,6359,True,0.14,ANALYZE,166.4247222222222
2026-03-20 07:01:32+00:00,6358,True,0.1352777777777777,ANALYZE,166.42
2026-03-21 01:12:13+00:00,6465,True,0.1075,ANALYZE,148.24194444444444
2026-03-21 01:12:19+00:00,6464,True,0.1058333333333333,ANALYZE,148.24027777777778
2026-03-21 11:11:22+00:00,6515,True,0.1011111111111111,RUN,138.25611111111112
2026-03-21 11:11:28+00:00,6514,True,0.0994444444444444,RUN,138.25444444444443
2026-03-21 14:50:01+00:00,6533,True,0.1180555555555555,DESIGN,134.61194444444445
2026-03-21 14:50:14+00:00,6532,True,0.1144444444444444,DESIGN,134.60833333333332
2026-03-21 19:18:16+00:00,6555,True,0.1527777777777778,RUN,130.14111111111112
2026-03-21 19:18:23+00:00,6554,True,0.1508333333333333,RUN,130.13916666666665
2026-03-21 23:37:22+00:00,6584,True,0.1222222222222222,CRITIQUE,125.82277777777776
2026-03-21 23:37:28+00:00,6583,True,0.1205555555555555,CRITIQUE,125.82111111111112
2026-03-22 00:14:18+00:00,6588,True,0.1355555555555555,RUN,125.20722222222224
2026-03-22 00:14:25+00:00,6587,True,0.1336111111111111,RUN,125.20527777777778
2026-03-22 01:44:58+00:00,6598,True,0.1241666666666666,RUN,123.69611111111112
2026-03-22 01:45:05+00:00,6597,True,0.1222222222222222,RUN,123.69416666666666
2026-03-23 08:34:39+00:00,6794,True,0.1377777777777777,DESIGN,92.86805555555556
2026-03-23 08:35:05+00:00,6793,True,0.1305555555555555,DESIGN,92.86083333333332
2026-03-23 09:58:16+00:00,6801,True,0.1025,RUN,91.47444444444444
2026-03-23 09:58:38+00:00,6800,True,0.0963888888888888,RUN,91.46833333333332
2026-03-23 16:39:53+00:00,6843,True,0.1566666666666666,RUN,84.78083333333333
2026-03-23 16:40:04+00:00,6842,True,0.1536111111111111,RUN,84.77777777777777
2026-03-23 19:51:31+00:00,6867,True,0.1388888888888889,DESIGN,81.58694444444444
2026-03-23 19:51:39+00:00,6866,True,0.1366666666666666,DESIGN,81.58472222222223
2026-03-24 09:11:33+00:00,6958,True,0.3233333333333333,SYNTHESIZE,68.25305555555556
2026-03-24 09:11:56+00:00,6957,True,0.3169444444444444,SYNTHESIZE,68.24666666666667
2026-03-24 18:43:26+00:00,7020,True,0.4336111111111111,RUN,58.721666666666664
2026-03-24 18:43:34+00:00,7019,True,0.4313888888888889,RUN,58.71944444444444
2026-03-24 22:52:14+00:00,7049,True,0.1027777777777777,RUN,54.575
2026-03-24 22:52:32+00:00,7048,True,0.0977777777777777,RUN,54.57
2026-03-25 03:42:10+00:00,7084,True,0.1236111111111111,RUN,49.742777777777775
2026-03-25 03:42:55+00:00,7083,True,0.1111111111111111,RUN,49.73027777777778
2026-03-25 14:16:10+00:00,7145,True,0.2397222222222222,RUN,39.17611111111111
2026-03-26 00:33:50+00:00,7204,True,0.1341666666666666,CRITIQUE,28.881666666666668
2026-03-26 00:34:09+00:00,7203,True,0.1288888888888889,CRITIQUE,28.87638888888889
2026-03-26 01:53:12+00:00,7215,True,0.1655555555555555,ANALYZE,27.558888888888887
2026-03-26 01:53:29+00:00,7214,True,0.1608333333333333,ANALYZE,27.554166666666667
2026-03-26 02:27:38+00:00,7218,True,0.1505555555555555,RUN,26.985
2026-03-26 02:27:55+00:00,7217,True,0.1458333333333333,RUN,26.98027777777778
2026-03-26 14:39:08+00:00,7280,True,0.1133333333333333,SYNTHESIZE,14.793333333333331
2026-03-26 14:39:13+00:00,7279,True,0.1119444444444444,SYNTHESIZE,14.791944444444445
2026-03-27 05:34:18+00:00,7361,True,0.1225,HYPOTHESIZE,23.093333333333337
2026-03-27 05:34:25+00:00,7360,True,0.1205555555555555,HYPOTHESIZE,23.09138888888889
2026-03-27 08:42:13+00:00,7373,True,0.1616666666666666,RUN,19.961388888888887
2026-03-27 09:30:08+00:00,7376,True,0.1133333333333333,BRIEF,19.162777777777777
2026-03-27 09:30:13+00:00,7375,True,0.1119444444444444,BRIEF,19.16138888888889
2026-03-27 13:07:51+00:00,7396,True,0.2211111111111111,RUN,15.534166666666666
2026-03-27 13:07:57+00:00,7395,True,0.2194444444444444,RUN,15.5325
2026-03-27 15:34:55+00:00,7409,True,0.1547222222222222,RUN,13.083055555555555
2026-03-27 15:35:12+00:00,7408,True,0.15,RUN,13.078333333333331
2026-03-27 15:59:59+00:00,7412,True,0.1713888888888889,RUN,12.665277777777778
